Epoch 1 Train: T1  2.44, T5 10.18, Loss 0.05 
Epoch 1 Val: V1 0.39, V5 1.50, Loss 0.00

Epoch 2 Train: T1  4.91, T5 17.91, Loss 0.04 
Epoch 2 Val: V1 0.62, V5 2.08, Loss 0.00

Epoch 3 Train: T1  6.61, T5 21.59, Loss 0.04 
Epoch 3 Val: V1 0.74, V5 2.33, Loss 0.00

Epoch 4 Train: T1  7.62, T5 24.47, Loss 0.04 
Epoch 4 Val: V1 0.84, V5 2.62, Loss 0.00

Epoch 5 Train: T1  8.73, T5 26.74, Loss 0.04 
Epoch 5 Val: V1 0.95, V5 2.83, Loss 0.00

Epoch 6 Train: T1  9.57, T5 28.34, Loss 0.04 
Epoch 6 Val: V1 1.03, V5 2.99, Loss 0.00

Epoch 7 Train: T1  10.26, T5 29.78, Loss 0.04 
Epoch 7 Val: V1 1.11, V5 3.08, Loss 0.00

Epoch 8 Train: T1  10.85, T5 30.94, Loss 0.04 
Epoch 8 Val: V1 1.16, V5 3.23, Loss 0.00

Epoch 9 Train: T1  11.35, T5 32.03, Loss 0.04 
Epoch 9 Val: V1 1.21, V5 3.37, Loss 0.00

Epoch 10 Train: T1  11.90, T5 33.04, Loss 0.04 
Epoch 10 Val: V1 1.21, V5 3.40, Loss 0.00

